2010.07.21,47.80
2010.07.22,58.06
2010.07.23,46.15
2010.07.24,43.59
2010.07.25,19.15
2010.07.26,38.12
2010.07.27,47.85
2010.07.28,43.73
2010.07.29,43.87
2010.07.30,42.24
2010.07.31,38.43
2010.08.01,28.92
2010.08.02,43.67
2010.08.03,41.32
2010.08.04,41.03
2010.08.05,39.80
2010.08.06,38.54
2010.08.07,35.11
2010.08.08,24.08
2010.08.09,38.74
2010.08.10,39.14
2010.08.11,40.14
2010.08.12,42.20
2010.08.13,42.13
2010.08.14,36.73
2010.08.15,27.18
2010.08.16,"1,147.96"
2010.08.17,43.26
2010.08.18,40.04
2010.08.19,41.14
2010.08.20,43.62
2010.08.21,39.19
2010.08.22,30.91
2010.08.23,54.28
2010.08.24,56.18
2010.08.25,42.61
2010.08.26,50.55
2010.08.27,54.70
2010.08.28,45.58
2010.08.29,29.87
2010.08.30,34.44
2010.08.31,46.44
2010.09.01,46.54
2010.09.02,45.21
2010.09.03,46.65
2010.09.04,44.95
2010.09.05,41.04
2010.09.06,42.42
2010.09.07,45.56
2010.09.08,38.18
2010.09.09,45.24
2010.09.10,46.92
2010.09.11,43.74
2010.09.12,35.90
2010.09.13,43.57
2010.09.14,44.85
2010.09.15,43.79
2010.09.16,45.75
2010.09.17,47.77
2010.09.18,42.15
2010.09.19,36.90
2010.09.20,51.20
2010.09.21,50.22
2010.09.22,51.15
2010.09.23,50.79
2010.09.24,49.39
2010.09.25,45.69
2010.09.26,38.01
2010.09.27,50.96
2010.09.28,55.037
2010.09.29,56.00
2010.09.30,57.23
2010.10.01,55.79
2010.10.02,47.51
2010.10.03,40.56
2010.10.04,50.42
2010.10.05,51.24
2010.10.06,52.07
2010.10.07,52.28
2010.10.08,49.62
2010.10.09,46.97
2010.10.10,45.86
2010.10.11,48.67
2010.10.12,54.03
2010.10.13,54.58
2010.10.14,53.81
2010.10.15,56.26
2010.10.16,40.17
2010.10.17,52.60
2010.10.18,58.30
2010.10.19,57.25
2010.10.20,54.47
2010.10.21,53.52
2010.10.22,54.16
2010.10.23,46.43
2010.10.24,42.67
2010.10.25,52.36
2010.10.26,57.12
2010.10.27,52.32
2010.10.28,52.07
2010.10.29,51.32
2010.10.30,47.14
2010.10.31,31.95
2010.11.01,41.87
2010.11.02,47.31
2010.11.03,40.50
2010.11.04,43.18
2010.11.05,42.65
2010.11.06,51.43
2010.11.07,46.98
2010.11.08,49.49
2010.11.09,52.75
2010.11.10,49.03
2010.11.11,42.80
2010.11.12,37.05
2010.11.13,37.79
2010.11.14,32.56
2010.11.15,46.33
2010.11.16,51.74
2010.11.17,50.09
2010.11.18,43.18
2010.11.19,52.46
2010.11.20,48.12
2010.11.21,42.73
2010.11.22,45.91
2010.11.23,50.27
2010.11.24,45.65
2010.11.25,57.51
2010.11.26,55.19
2010.11.27,52.55
2010.11.28,47.86
2010.11.29,57.12
2010.11.30,57.48
2010.12.01,47.43
2010.12.02,54.11
2010.12.03,61.64
2010.12.04,52.31
2010.12.05,42.48
2010.12.06,56.90
2010.12.07,61.64
2010.12.08,52.79
2010.12.09,50.46
2010.12.10,55.08
2010.12.11,38.06
2010.12.12,43.38
2010.12.13,62.11
2010.12.14,62.33
2010.12.15,66.71
2010.12.16,45.97
2010.12.17,51.61
2010.12.18,45.14
2010.12.19,31.87
2010.12.20,58.28
2010.12.21,62.94
2010.12.22,38.82
2010.12.23,44.50
2010.12.24,30.28
2010.12.25,31.82
2010.12.26,40.07
2010.12.27,55.97
2010.12.28,42.75
2010.12.29,49.99
2010.12.30,50.57
2010.12.31,41.57
2011.01.01.,30.22
2011.01.02.,41.83
2011.01.03.,65.50
2011.01.04.,61.60
2011.01.05.,54.26
2011.01.06.,45.11
2011.01.07.,47.02
2011.01.08.,38.26
2011.01.09.,34.83
2011.01.10.,59.43
2011.01.11.,52.34
2011.01.12.,52.13
2011.01.13.,48.73
2011.01.14.,44.90
2011.01.15.,37.22
2011.01.16.,28.22
2011.01.17.,44.94
2011.01.18.,52.67
2011.01.19.,55.09
2011.01.20.,57.49
2011.01.21.,55.86
2011.01.22.,50.80
2011.01.23.,51.40
2011.01.24.,56.84
2011.01.25.,54.25
2011.01.26.,59.29
2011.01.27.,57.78
2011.01.28.,58.03
2011.01.29.,52.98
2011.01.30.,46.54
2011.01.31.,55.47
2011.02.01.,59.36
2011.02.02.,54.17
